
================== SCOREBOARD ==================
Test Run: Thu May  1 22:16:41 EDT 2025
Program              | RegCheck   | MemCheck   | CPI        | System Halt                   
------------------------------------------------------------------------------------------
evens_long           | PASS       | PASS       | 2.200000   | WFI instruction               
load_tests           | PASS       | PASS       | 4.190476   | WFI instruction               
matrix_mult_rec      | PASS       | PASS       | 3.247278   | WFI instruction               
fc_forward           | PASS       | PASS       | 2.960915   | WFI instruction               
parallel             | PASS       | PASS       | 2.125628   | WFI instruction               
omegalul             | PASS       | PASS       | 2.958904   | WFI instruction               
graph                | PASS       | PASS       | 3.580944   | WFI instruction               
copy                 | PASS       | PASS       | 2.938931   | WFI instruction               
branch_test          | PASS       | PASS       | 5.400000   | WFI instruction               
basic_malloc         | PASS       | PASS       | 3.563097   | WFI instruction               
insertionsort        | PASS       | PASS       | 3.081592   | WFI instruction               
bfs                  | PASS       | PASS       | 3.262417   | WFI instruction               
btest2               | PASS       | PASS       | 5.842105   | WFI instruction               
ppln_test            | PASS       | PASS       | 3.666667   | WFI instruction               
backtrack            | PASS       | PASS       | 3.483822   | WFI instruction               
insertion            | PASS       | PASS       | 3.267559   | WFI instruction               
btest1               | PASS       | PASS       | 5.843478   | WFI instruction               
halt                 | PASS       | PASS       | N/A        | WFI instruction               
link_list            | PASS       | PASS       | 3.733258   | WFI instruction               
ppl_test             | PASS       | PASS       | 2.666667   | WFI instruction               
sort_search          | PASS       | PASS       | 3.156380   | WFI instruction               
priority_queue       | PASS       | PASS       | 3.722146   | WFI instruction               
store_tests          | PASS       | PASS       | 3.500000   | WFI instruction               
fib_long             | PASS       | PASS       | 1.618524   | WFI instruction               
quicksort            | PASS       | PASS       | 3.138200   | WFI instruction               
malloc_test          | PASS       | PASS       | 3.710204   | WFI instruction               
fib_rec              | PASS       | PASS       | 4.893201   | WFI instruction               
mult_test            | PASS       | PASS       | 9.500000   | WFI instruction               
mem_test             | PASS       | PASS       | 7.454545   | WFI instruction               
fib                  | PASS       | PASS       | 2.617450   | WFI instruction               
c_test               | PASS       | PASS       | 3.226562   | WFI instruction               
no_hazard            | PASS       | PASS       | 12.000000  | WFI instruction               
dft                  | PASS       | PASS       | 3.224492   | WFI instruction               
dfs                  | PASS       | PASS       | 3.323901   | WFI instruction               
raw_program          | PASS       | PASS       | 6.000000   | WFI instruction               
if_stage_test        | PASS       | PASS       | 5.000000   | WFI instruction               
outer_product        | PASS       | PASS       | 2.940490   | WFI instruction               
evens                | PASS       | PASS       | 4.285714   | WFI instruction               
easy_program         | PASS       | PASS       | 4.000000   | WFI instruction               
more_mult            | PASS       | PASS       | 7.555556   | WFI instruction               
haha                 | PASS       | PASS       | 3.000000   | WFI instruction               
alexnet              | PASS       | PASS       | 3.031071   | WFI instruction               
saxpy                | PASS       | PASS       | 3.139785   | WFI instruction               
mult                 | PASS       | PASS       | 3.947692   | WFI instruction               
sampler              | PASS       | PASS       | 3.477064   | WFI instruction               
copy_long            | PASS       | PASS       | 1.697124   | WFI instruction               
mergesort            | PASS       | PASS       | 3.593714   | WFI instruction               
mult_no_lsq          | PASS       | PASS       | 3.184397   | WFI instruction               
==========================================================================================
